1329569381 1 0 0 0
1329570885 2 0 0 0
1329572157 3 0 0 0
1329572798 4 0 0 0
1329573421 5 0 0 0
1329575811 6 0 0 0
1329577107 6 1 0 0
1329578144 7 1 0 0
1329579777 8 1 0 0
1329580435 9 1 0 0
1329580471 10 1 0 0
1329580509 10 1 1 0
1329580544 10 1 2 0
1329581247 10 1 3 0
1329581297 11 1 3 0
1329581337 12 1 3 0
1329583367 13 1 3 0
1329585556 13 2 3 0
1329587455 13 3 3 0
1329587950 14 3 3 0
1329604612 14 4 3 0
1329604668 14 5 3 0
1329639338 15 5 3 0
1329644265 16 5 3 0
1329647498 17 5 3 0
1329648857 17 5 4 0
1329650004 18 5 4 0
1329651215 18 6 4 0
1329651833 18 7 4 0
1329652241 18 7 5 0
1329652275 18 7 6 0
1329654609 18 7 7 0
1329655892 19 7 7 0
1329656890 19 8 7 0
1329656935 19 9 7 0
1329657297 20 9 7 0
1329657328 21 9 7 0
1329657708 21 9 7 1
1329657713 21 9 7 2
1329658511 21 9 7 3
